id,created_at,text
1195775199922327553,2019-11-16 18:46:38,b'RT @LouDobbs: No Quid without a Quo: @KimStrassel on President @realDonaldTrump\xe2\x80\x99s vindication after Morrison\xe2\x80\x99s testimony. #AmericaFirst #MA\xe2\x80\xa6'
1195774695922110465,2019-11-16 18:44:38,"b'RT @KimStrassel: Impeachment is meant to be a big deal, but Democrats and the media have accomplished the disturbing feat of turning it int\xe2\x80\xa6'"
1195774605010636801,2019-11-16 18:44:16,b'Congratulations Kimberley. Great book! https://t.co/IFlMf1qIrb'
1195774268988153859,2019-11-16 18:42:56,b'RT @AriFleischer: The most important part of today\xe2\x80\x99s hearing was Amb. Yovanovitch\xe2\x80\x99s statement that she has no evidence that Trump received\xe2\x80\xa6'
1195774121734557699,2019-11-16 18:42:21,b'RT @AriFleischer: The Qs the press asked Schiff at his post-hearing news conference were friendly.  The Qs the press asked to the Republica\xe2\x80\xa6'
1195773349873569795,2019-11-16 18:39:17,"b'RT @realDonaldTrump: LOUISIANA, VOTE @EddieRispone TODAY! He will be a great governor!'"
1195773067261292547,2019-11-16 18:38:10,"b'\xe2\x80\x9cI mean, come on. The Democrats are doing focus groups to try and figure out what words to use to move the needle.\xe2\x80\xa6 https://t.co/TiN02s4ykR'"
1195762921470607361,2019-11-16 17:57:51,"b'\xe2\x80\x9cTriggered,\xe2\x80\x9d a great book by my son, Don. Now number one on @NYTIMES LIST. Keep it there for a while!'"
1195730541745770496,2019-11-16 15:49:11,b'RT @realDonaldTrump: Good morning Louisiana! Polls are open at 7AM. Get out and VOTE for @EddieRispone to be your next Gov! He will get you\xe2\x80\xa6'
1195727879780360193,2019-11-16 15:38:36,"b'....and Taylor, dismissing everybody involved from the Obama holdover days trying to undermine Trump, getting rid o\xe2\x80\xa6 https://t.co/OI3LdIebvr'"
1195727871765073921,2019-11-16 15:38:34,"b'\xe2\x80\x9cMy support for Donald Trump has never been greater than it is right now. It is paramountly obvious watching this,\xe2\x80\xa6 https://t.co/ds5t4N9fwp'"
1195722806274736129,2019-11-16 15:18:27,"b'Dow hits 28,000 - FIRST TIME EVER, HIGHEST EVER! Gee, Pelosi &amp; Schitt have a good idea, \xe2\x80\x9clets Impeach the President\xe2\x80\xa6 https://t.co/x8fuxDPsDd'"
1195702155061149696,2019-11-16 13:56:23,"b'RT @DanScavino: \xe2\x80\x9cArmy 1st Lt. Clint Lorance, one of two U.S. Army officers granted clemency Friday by POTUS Trump, was released from prison\xe2\x80\xa6'"
1195700944845049857,2019-11-16 13:51:34,"b'LOUISIANA, VOTE @EddieRispone TODAY! He will be a great governor!'"
1195690037461094407,2019-11-16 13:08:14,b'Good morning Louisiana! Polls are open at 7AM. Get out and VOTE for @EddieRispone to be your next Gov! He will get\xe2\x80\xa6 https://t.co/MVmnupg5CY'
1195582934578798593,2019-11-16 06:02:39,"b'RT @thehill: AG Bill Barr: ""Immediately after President Trump won election, opponents inaugurated what they call \'The Resistance\' and they\xe2\x80\xa6'"
1195582806212186112,2019-11-16 06:02:08,b'RT @marklevinshow: Attorney General Bill Barr slams the constant efforts to undermine the president in a speech to the Federalist Society\xe2\x80\xa6'
1195531896433848320,2019-11-16 02:39:50,b'#NewHoaxSameSwamp https://t.co/GIg9R9Txe0'
1195500061721026560,2019-11-16 00:33:20,b'https://t.co/YvlBpfsiTa'
1195495876631957504,2019-11-16 00:16:42,b'THANK YOU! #MAGA #KAG https://t.co/Pcq7IbehVp'
1195464209594830854,2019-11-15 22:10:52,b'https://t.co/8h6ZmdGlPf https://t.co/shaijXMXli'
1195441584210350081,2019-11-15 20:40:58,"b'RT @RepLeeZeldin: History is going to be so MASSIVELY unkind towards Pelosi, Schiff and the rest of Congressional Democrats who continue su\xe2\x80\xa6'"
1195441353154584576,2019-11-15 20:40:03,"b'RT @RepMarkMeadows: The Democrats second day impeachment witness, Ambassador Yovanovitch, has no information on any of the relevant questio\xe2\x80\xa6'"
1195441256446537729,2019-11-15 20:39:40,b'RT @EliseStefanik: Obama\xe2\x80\x99s own State Dept. was so concerned about conflicts of interest from Hunter Biden\xe2\x80\x99s role at Burisma that they raise\xe2\x80\xa6'
1195441093350973440,2019-11-15 20:39:01,"b'RT @EliseStefanik: The facts are clear, confirmed by our witness, Ambassador Yovanovitch: defensive lethal aid was provided to Ukraine not\xe2\x80\xa6'"
1195438100870250496,2019-11-15 20:27:08,"b""RT @SteveScalise: The Dems' star witness was just asked on record if she had any information regarding @realDonaldTrump accepting any bribe\xe2\x80\xa6"""
1195438012018155520,2019-11-15 20:26:46,"b'RT @GOPLeader: Before Chairman Adam Schiff gets a chance to make up another phone call between Presidents Trump and Zelensky, @DevinNunes j\xe2\x80\xa6'"
1195437911589707776,2019-11-15 20:26:22,b'RT @Jim_Jordan: https://t.co/gjRFvN02xO'
1195437692462481408,2019-11-15 20:25:30,b'RT @DanScavino: \xe2\x80\x9cUkrainian FM Vadym Prystaiko said on Thur that the U.S. Amb did not link financial military assistance to a request for Uk\xe2\x80\xa6'
1195420664007712769,2019-11-15 19:17:50,"b'RT @Jim_Jordan: We now have both the April and July calls between President Trump and President Zelensky. Once again, no linkage of any kin\xe2\x80\xa6'"
1195420321802858497,2019-11-15 19:16:29,"b'RT @RepMarkMeadows: Bravo from @RepChrisStewart, who just summarized this whole hearing:\n\nQ: ""Do you have any information regarding POTUS a\xe2\x80\xa6'"
1195420210771251207,2019-11-15 19:16:02,"b'RT @Rep_Watkins: Democrats didn\xe2\x80\x99t like the outcome of the 2016 election, so now they\xe2\x80\x99re trying to impeach @realDonaldTrump \n\n#KS02 #ksleg h\xe2\x80\xa6'"
1195420149505019904,2019-11-15 19:15:48,"b'RT @GOPLeader: .@RepStefanik: ""I just want to get it on record. In terms of defensive lethal aid, which you were an advocate for, that was\xe2\x80\xa6'"
1195420025471016960,2019-11-15 19:15:18,b'RT @RepAndyBiggsAZ: .@RepDevinNunes is exactly right: former Ambassador Yovanovitch should not be a witness at an impeachment hearing where\xe2\x80\xa6'
1195419889198088193,2019-11-15 19:14:46,b'RT @HouseGOP: Why is Chairman Schiff afraid of @RepStefanik?\n\nWhy doesn\xe2\x80\x99t he want Republican members to ask questions?\n\nWhy is he conductin\xe2\x80\xa6'
1195419861222088709,2019-11-15 19:14:39,b'RT @CongressmanHice: Quick reminder \xe2\x86\x92 Ambassador Marie Yovanovitch is yet another person who wasn\xe2\x80\x99t present on the July 25th call \xe2\x80\x93 and tha\xe2\x80\xa6'
1195419822710042626,2019-11-15 19:14:30,"b'RT @RepMarkMeadows: One thing to note:\n\nNotice how, so far, the Democrats have been peppering the witness with questions asking her to spec\xe2\x80\xa6'"
1195419800320856066,2019-11-15 19:14:24,"b""RT @RepDLamborn: This witness has absolutely no relevant information. She can't bring any first-hand knowledge of the events and was recall\xe2\x80\xa6"""
1195419781110915072,2019-11-15 19:14:20,"b'RT @RepSmucker: No matter how hard the media and the Democrats try to spin the hearings, these are the facts... #ImpeachingHearings #FactsM\xe2\x80\xa6'"
1195389486659776512,2019-11-15 17:13:57,b'....A double standard like never seen before in the history of our Country?'
1195389483664990208,2019-11-15 17:13:56,"b'So they now convict Roger Stone of lying and want to jail him for many years to come. Well, what about Crooked Hill\xe2\x80\xa6 https://t.co/JAMq1fjRVz'"
1195379578358960128,2019-11-15 16:34:35,"b'Stock Market up big. New and Historic Record. Job, jobs, jobs!'"
1195376390054580225,2019-11-15 16:21:55,b'We have vacancies in various departments because we do not want or need as many people as past administrations (and\xe2\x80\xa6 https://t.co/GsZxGrOGUP'
1195363904920182786,2019-11-15 15:32:18,b'https://t.co/qz1OfL56rg'
1195363894669258752,2019-11-15 15:32:15,b'https://t.co/86HWwzDlEo'
1195363882489065474,2019-11-15 15:32:13,b'https://t.co/ObHvebm4ry'
1195362752140914689,2019-11-15 15:27:43,b'https://t.co/XE7ofTy7Sf'
1195360319926939648,2019-11-15 15:18:03,b'https://t.co/0zTfpzHCNK'
1195360243708047366,2019-11-15 15:17:45,"b'Another Record Stock Market, 21 times this year, despite an ongoing, &amp; totally unfounded, Witch Hunt, &amp; a Democrat\xe2\x80\xa6 https://t.co/gRAV8W5o7k'"
1195356211937468417,2019-11-15 15:01:44,b'....They call it \xe2\x80\x9cserving at the pleasure of the President.\xe2\x80\x9d The U.S. now has a very strong and powerful foreign po\xe2\x80\xa6 https://t.co/D0ywsWUjAw'
1195356198347956224,2019-11-15 15:01:40,"b'Everywhere Marie Yovanovitch went turned bad. She started off in Somalia, how did that go? Then fast forward to Ukr\xe2\x80\xa6 https://t.co/N6KQO9jBWS'"
1195337873882583042,2019-11-15 13:48:52,"b'......filth pouring into the Pacific Ocean is rapidly becoming an environmental hazard, is getting NOTHING DONE. Sh\xe2\x80\xa6 https://t.co/ZMRViDxg4B'"
1195337867989573632,2019-11-15 13:48:50,b'The Impeachment Witch Hunt should be over with the statement made last night by the President and Foreign Minister\xe2\x80\xa6 https://t.co/sbNUyq1ghc'
1195202838361624577,2019-11-15 04:52:17,"b'....Ambassador Sondland did not tell us, and certainly did not tell me, about a connection between the assistance a\xe2\x80\xa6 https://t.co/y4aLvLfaXN'"
1195202834645405698,2019-11-15 04:52:16,b'Democrats must apologize to USA: Ukrainian Foreign Minister Vadym Prystaiko said that \xe2\x80\x9cUnited States Ambassador Gor\xe2\x80\xa6 https://t.co/Y7eTx5RCfK'
1195187992270270464,2019-11-15 03:53:17,"b'This Saturday, the eyes of history are looking at the people of Louisiana. If you want to defend your values, your\xe2\x80\xa6 https://t.co/iArddZXufJ'"
1195173163178627077,2019-11-15 02:54:22,b'RT @DanScavino: https://t.co/tckvBQclps https://t.co/WKwdBxOkSb'
1195173024867258369,2019-11-15 02:53:49,"b'RT @RepDougCollins: Great news for @GAPoultryFed, @chickencouncil, and poultry farmers across the country! Thank you @realDonaldTrump, @Sec\xe2\x80\xa6'"
1195172727403032577,2019-11-15 02:52:38,"b'RT @Jim_Jordan: TODAY the Ukrainian Foreign Minister, Vadym Prystaiko, verified what we already knew:\n\n\xe2\x80\x9cI have never seen a direct relation\xe2\x80\xa6'"
1195172378055184384,2019-11-15 02:51:14,b'RT @Jim_Jordan: Calls &amp; meetings:\n\n7/25\xe2\x80\x94Call between @POTUS and Zelensky\n7/26\xe2\x80\x94Volker &amp; Taylor meet Zelensky\n8/27\xe2\x80\x94John Bolton meets Zelensky\xe2\x80\xa6'
1195172296232722432,2019-11-15 02:50:55,"b""RT @Scavino45: \xe2\x80\x9cAdam Schiff is wasting the nation's time with impeachment hearings\xe2\x80\x9d https://t.co/DsPD85HNtg"""
1195136338510499840,2019-11-15 00:28:02,b'Getting ready to land in Louisiana to do Rally with Great Republican @EddieRispone for Governor. He will get your t\xe2\x80\xa6 https://t.co/WRsx8GlSdP'
1195122975713812481,2019-11-14 23:34:56,"b'....We send our deepest condolences to the families and friends of those tragically lost, and we pray for the speed\xe2\x80\xa6 https://t.co/V4d7dDn6HG'"
1195122972098359297,2019-11-14 23:34:55,"b'We continue to monitor the terrible events at Saugus High School in Santa Clarita, California through our ongoing c\xe2\x80\xa6 https://t.co/EfzRdbOvkn'"
1195003306558607360,2019-11-14 15:39:25,b'Where\xe2\x80\x99s the Fake Whistleblower?'
